"item","itemname","ENERGY","PROTEIN","feedClassification"
"0111","Wheat",13.8,12.6,"Potential Feed"
"39120.01","Bran Wheat",14.3,17.3,"FeedOnly"
"23140.01","Germ Wheat",15.6,29.5,"Potential Feed"
"23140.02","Bulgur",13.8,12.6,"Potential Feed"
"23220.02","Wheat Gluten",15.5,37.3,"Potential Feed"
"0113","Rice, Paddy",13.3,8.3,"Potential Feed"
"23161.03","Rice,Broken",13.6,10.4,"Potential Feed"
"39130.01","Rice Gluten",6.2,6.7,"Potential Feed"
"39120.02","Bran Rice",15.5,14.2,"FeedOnly"
"21910.01","Cake Ricebrn",16.1,14.2,"FeedOnly"
"0115","Barley",14,11.8,"Potential Feed"
"23140.04","Pot Barley",14,11.8,"Potential Feed"
"23140.05","Barley,Pearl",15.9,21.4,"Potential Feed"
"39120.03","Bran Barley",15.9,21.4,"FeedOnly"
"0112","Maize",14.3,10.5,"Potential Feed"
"23140.06","Germ Maize",14.4,15.1,"Potential Feed"
"39120.04","Bran Maize",14.3,21.7,"FeedOnly"
"21910.02","Cake Maize",14.3,21.7,"FeedOnly"
"39130.02","Maize Gluten",12,21.7,"Potential Feed"
"0116","Rye",13.6,10.3,"Potential Feed"
"39120.05","Bran Rye",14,16.9,"FeedOnly"
"0117","Oats",14,11,"Potential Feed"
"39120.06","Bran Oats",15,19.3,"FeedOnly"
"0118","Millet",14.3,12.5,"Potential Feed"
"39120.07","Bran Millet",14.4,13.7,"FeedOnly"
"0114","Sorghum",14.3,10.8,"Potential Feed"
"39120.08","Bran Sorghum",14.2,11.7,"FeedOnly"
"01192","Buckwheat",14.3,10.8,"Potential Feed"
"39120.09","Bran Buckwht",14.3,10.8,"FeedOnly"
"01193","Fonio",11.8,8.5,"Potential Feed"
"39120.10","Bran Fonio",12.3,15.3,"FeedOnly"
"01191","Triticale",13.7,11.7,"Potential Feed"
"39120.11","Bran Tritica",14.3,10,"FeedOnly"
"01195","Canary Seed",12.5,10,"Potential Feed"
"01199.02","Mixed Grain",14.3,10,"Potential Feed"
"39120.12","Bran Mix Gr",12.3,15.3,"FeedOnly"
"01199.90","Cereals nes",14.3,10,"Potential Feed"
"39120.13","Bran Cereal",12.3,15.3,"FeedOnly"
"23140.08","Cer Prep nes",14.3,10,"Potential Feed"
"23180","Mixes And Do",14.3,10,"FeedOnly"
"01510","Potatoes",12.8,10.8,"Potential Feed"
"01530","Sweet Potato",13.2,5.5,"Potential Feed"
"01520","Cassava",13,2.6,"Potential Feed"
"23230.02","Cassava Tap",13,2.6,"Potential Feed"
"01520.01","Cassava Dr.",12.7,2.9,"Potential Feed"
"01591","Yautia(Coc.)",15.8,13.7,"Potential Feed"
"01550","Taro",13,5.4,"Potential Feed"
"01540","Yams",16.3,12,"Potential Feed"
"01599","Roots Tub Ns",13,5.4,"Potential Feed"
"01599.10","Roots Tub Dr",13,5.4,"Potential Feed"
"01802","Sugar Cane",13.8,4.1,"Potential Feed"
"01801","Sugar Beets",12.8,7.8,"Potential Feed"
"23512","Beet Sugar",15.2,0,"Potential Feed"
"01809","Sugar Crops",15.2,0,"Potential Feed"
