item,itemname,ENERGY,PROTEIN,feedClassification
15,Wheat,13.8,12.6,Potential Feed
17,Bran Wheat,14.3,17.3,FeedOnly
19,Germ Wheat,15.6,29.5,Potential Feed
21,Bulgur,13.8,12.6,Potential Feed
24,Wheat Gluten,15.5,37.3,Potential Feed
27,"Rice, Paddy",13.3,8.3,Potential Feed
32,"Rice,Broken",13.6,10.4,Potential Feed
33,Rice Gluten,6.2,6.7,Potential Feed
35,Bran Rice,15.5,14.2,FeedOnly
37,Cake Ricebrn,16.1,14.2,FeedOnly
44,Barley,14,11.8,Potential Feed
45,Pot Barley,14,11.8,Potential Feed
46,"Barley,Pearl",15.9,21.4,Potential Feed
47,Bran Barley,15.9,21.4,FeedOnly
56,Maize,14.3,10.5,Potential Feed
57,Germ Maize,14.4,15.1,Potential Feed
59,Bran Maize,14.3,21.7,FeedOnly
61,Cake Maize,14.3,21.7,FeedOnly
63,Maize Gluten,12,21.7,Potential Feed
71,Rye,13.6,10.3,Potential Feed
73,Bran Rye,14,16.9,FeedOnly
75,Oats,14,11,Potential Feed
77,Bran Oats,15,19.3,FeedOnly
79,Millet,14.3,12.5,Potential Feed
81,Bran Millet,14.4,13.7,FeedOnly
83,Sorghum,14.3,10.8,Potential Feed
85,Bran Sorghum,14.2,11.7,FeedOnly
89,Buckwheat,14.3,10.8,Potential Feed
91,Bran Buckwht,14.3,10.8,FeedOnly
94,Fonio,11.8,8.5,Potential Feed
96,Bran Fonio,12.3,15.3,FeedOnly
97,Triticale,13.7,11.7,Potential Feed
99,Bran Tritica,14.3,10,FeedOnly
101,Canary Seed,12.5,10,Potential Feed
103,Mixed Grain,14.3,10,Potential Feed
105,Bran Mix Gr,12.3,15.3,FeedOnly
108,Cereals nes,14.3,10,Potential Feed
112,Bran Cereal,12.3,15.3,FeedOnly
113,Cer Prep nes,14.3,10,Potential Feed
114,Mixes And Do,14.3,10,FeedOnly
116,Potatoes,12.8,10.8,Potential Feed
122,Sweet Potato,13.2,5.5,Potential Feed
125,Cassava,13,2.6,Potential Feed
127,Cassava Tap,13,2.6,Potential Feed
128,Cassava Dr.,12.7,2.9,Potential Feed
135,Yautia(Coc.),15.8,13.7,Potential Feed
136,Taro,13,5.4,Potential Feed
137,Yams,16.3,12,Potential Feed
149,Roots Tub Ns,13,5.4,Potential Feed
151,Roots Tub Dr,13,5.4,Potential Feed
156,Sugar Cane,13.8,4.1,Potential Feed
157,Sugar Beets,12.8,7.8,Potential Feed
