"geographicAreaM49","timePointYears","measuredItemCPC","Value_measuredElement_5113","flagObservationStatus_measuredElement_5113","flagMethod_measuredElement_5113","Value_measuredElement_5025","flagObservationStatus_measuredElement_5025","flagMethod_measuredElement_5025","Value_measuredElement_5312","flagObservationStatus_measuredElement_5312","flagMethod_measuredElement_5312","Value_measuredElement_5510","flagObservationStatus_measuredElement_5510","flagMethod_measuredElement_5510","Value_measuredElement_5327","flagObservationStatus_measuredElement_5327","flagMethod_measuredElement_5327","Value_measuredElement_5421","flagObservationStatus_measuredElement_5421","flagMethod_measuredElement_5421","Value_measuredElement_5520","flagObservationStatus_measuredElement_5520","flagMethod_measuredElement_5520","Value_measuredElement_5525","flagObservationStatus_measuredElement_5525","flagMethod_measuredElement_5525","Value_measuredElement_5016","flagObservationStatus_measuredElement_5016","flagMethod_measuredElement_5016","Value_measuredElement_5120","flagObservationStatus_measuredElement_5120","flagMethod_measuredElement_5120","Value_measuredElement_5023","flagObservationStatus_measuredElement_5023","flagMethod_measuredElement_5023","Value_measuredElement_5141","flagObservationStatus_measuredElement_5141","flagMethod_measuredElement_5141","Value_measuredElement_5600","Value_measuredElement_5800"
"4","2011","0111",NA,NA,NA,NA,NA,NA,2232000,"","-",3388000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,328000,"","-",508000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,1279979.09310499,1044529.44060983
"4","2010","0111",NA,NA,NA,NA,NA,NA,2354000,"","-",4532000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,313000,"","-",678000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,2602084.63791849,3152878.58360781
"4","2009","0111",NA,NA,NA,NA,NA,NA,2575000,"","-",5064000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,319000,"","-",768000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,499022.48009824,10681287.8219305
"4","2008","0111",NA,NA,NA,NA,NA,NA,2139000,"","-",2623000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,256000,"","-",397000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,382361.786435312,11807942.2565247
"4","2007","0111",NA,NA,NA,NA,NA,NA,2466000,"","-",4484000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,303000,"","-",673000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,276166.806371387,10265825.1981255
"4","2006","0111",NA,NA,NA,NA,NA,NA,2444000,"","-",3363000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M","n",505000,"T","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,540376.459818629,29096125.3271156
"4","2005","0111",NA,NA,NA,NA,NA,NA,2342000,"","-",4266000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M","n",640000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,62839.1690495472,33221098.4764854
"4","2004","0111",NA,NA,NA,NA,NA,NA,1888000,"","-",2390000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M","n",344000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,1796811.18868581,37096994.7626619
"4","2003","0111",NA,NA,NA,NA,NA,NA,2320000,"","-",3480000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M","n",654000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,2517221.33214702,13887021.1281577
"4","2002","0111",NA,NA,NA,NA,NA,NA,1742000,"","-",2686000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M","n",269000,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,311071.761516504,4423107.83986575
