"childID","target","extractionRate","parentID","calorieExtractionRate","groupID","share"
"23110","B",0.71999424004608,"0111",1,"0111-23110",NA
"39120.01","B",0.22,"0111",1,"0111-23110",NA
"23710","B",1,"23110",1,"23110-23710",NA
"23140.01","B",0.06,"0111",1,"0111-23110",NA
"F0020","B",1.20004800192008,"23110",1,"23110-F0020",NA
"23140.02","B",0.950028500855026,"0111",1,"0111-23140.02",NA
"F0022","B",1,"23110",1,"23110-F0022",NA
"23220.01","B",0.849978750531237,"23110",1,"23110-23220.01",NA
"23220.02","B",Inf,"23110",1,"23110-23220.02",NA
"23140.03","B",1,"0111",1,"0111-23140.03",NA
"23490.02","B",1,"23110",1,"23110-23490.02",NA
"23511.01","F",0.11,"01802",1,"01802-23511.01",1
"23512","F",0.14,"01801",1,"01801-23512",1
"23510","F",1,"23512",1,"23512-23510",1
"23511.02","T",1,"01802",1,"01802-23511.02",NA
"23520","B",0.919963201471941,"23510",1,"23510-23520",NA
"23540","F",0.05,"01802",1,"01802-23511.01",1
"23540","F",0.04,"01801",1,"01801-23512",1
"23210.04","T",1,"23520",1,"23520-23210.04",NA
"23670.01","B",2.2002200220022,"23520",1,"23520-23670.01",NA
"39140.01","F",0.07,"01801",0,"01801-23512",1
"39140.02","F",0.25,"01802",0,"01802-23511.01",1
NA,"B",1,"23520",1,"23520-NA",NA
"01491.02","T",1,"01491.01",1,"01491.01-01491.02",NA
"2165","T",1,"01491.01",1,"01491.01-2165",NA
"21691.14","T",1,"01491.02",1,"01491.02-21691.14",NA
"21910.06","T",Inf,"01491.02",0,"01491.02-21910.06",NA
"24490.92","B",4,"23210.05",1,"23210.05-24490.92",NA
"21111.01","T",1,"02111",1,"02111-21111.01",NA
"21151","T",1,"02111",1,"02111-21151",NA
"21512","T",1,"02111",1,"02111-21512",NA
"21111.02","B",0.8,"21111.01",1,"21111.01-21111.02",NA
"21512.01","B",Inf,"21111.01",0,"21111.01-21111.02",NA
"21182","B",0.355555555555556,"21111.01",1,"21111.01-21182",NA
"21185","B",0.2,"21111.01",1,"21111.01-21185",NA
"21184.01","B",0.622200099552016,"21111.01",1,"21111.01-21184.01",NA
"F0875","B",0.755572346052135,"21111.01",1,"21111.01-F0875",NA
NA,"B",0.849978750531237,"21111.01",1,"21111.01-NA",NA
"23991.04","B",5,"21111.01",1,"21111.01-23991.04",NA
"02951.01","T",Inf,"02111",0,"02111-02951.01",NA
"21700.02","B",1.20004800192008,"21691.90",1,"21691.90-21700.02",NA
"F1243","B",1,"21512",1,"21512-F1243",NA
"34550","B",1,"21691.12",1,"21691.12-34550",NA
"F1275","B",1.20004800192008,"21691.90",1,"21691.90-F1275",NA
"34120","B",1,"2165",1,"2165-34120",NA
"21932.02","B",1,"2165",1,"2165-21932.02",NA
